Agência Executiva de Gestão das Águas do Estado da Paraíba
Dados hidrológicos exportado em 13 de junho de 2025 às 11h24


Data de coleta;Volume (%);Volume (m³);Afluência/defluência
30/11/2019;2,33;1.043.310,00;-
01/12/2019;2,29;1.027.450,00;-15.860,00
02/12/2019;2,25;1.011.590,00;-15.860,00
03/12/2019;2,22;995.730,00;-15.860,00
04/12/2019;2,18;979.870,00;-15.860,00
05/12/2019;2,15;964.010,00;-15.860,00
06/12/2019;2,10;940.220,00;-23.790,00
07/12/2019;2,04;916.430,00;-23.790,00
08/12/2019;1,95;876.780,00;-39.650,00
09/12/2019;1,92;860.920,00;-15.860,00
10/12/2019;1,90;852.990,00;-7.930,00
11/12/2019;1,88;845.060,00;-7.930,00
12/12/2019;1,87;837.130,00;-7.930,00
13/12/2019;1,83;821.270,00;-15.860,00
14/12/2019;1,80;805.410,00;-15.860,00
15/12/2019;1,78;797.480,00;-7.930,00
16/12/2019;1,76;789.550,00;-7.930,00
17/12/2019;1,74;781.620,00;-7.930,00
18/12/2019;1,72;773.690,00;-7.930,00
19/12/2019;1,69;757.830,00;-15.860,00
20/12/2019;1,67;749.900,00;-7.930,00
21/12/2019;1,65;741.970,00;-7.930,00
22/12/2019;1,62;726.110,00;-15.860,00
23/12/2019;1,58;710.250,00;-15.860,00
24/12/2019;1,57;702.320,00;-7.930,00
25/12/2019;1,53;686.460,00;-15.860,00
26/12/2019;1,49;670.600,00;-15.860,00
27/12/2019;1,48;662.670,00;-7.930,00
28/12/2019;1,44;646.810,00;-15.860,00
29/12/2019;1,41;630.950,00;-15.860,00
30/12/2019;1,41;630.950,00;-
31/12/2023;1,80;805.410,00;174.460,00
31/12/2023;1,80;805.410,00;-
01/01/2024;3,01;1.352.580,00;547.170,00
01/01/2024;3,01;1.352.580,00;-
02/01/2024;3,09;1.384.300,00;31.720,00
02/01/2024;3,09;1.384.300,00;-
03/01/2024;3,16;1.416.020,00;31.720,00
03/01/2024;3,16;1.416.020,00;-
04/01/2024;3,37;1.510.360,00;94.340,00
04/01/2024;3,37;1.510.360,00;-
05/01/2024;3,61;1.621.450,00;111.090,00
05/01/2024;3,61;1.621.450,00;-
06/01/2024;3,72;1.670.830,00;49.380,00
06/01/2024;3,72;1.670.830,00;-
07/01/2024;3,83;1.720.200,00;49.370,00
07/01/2024;3,83;1.720.200,00;-
08/01/2024;3,83;1.720.200,00;-
08/01/2024;3,83;1.720.200,00;-
09/01/2024;3,83;1.720.200,00;-
09/01/2024;3,83;1.720.200,00;-
10/01/2024;3,83;1.720.200,00;-
10/01/2024;3,83;1.720.200,00;-
11/01/2024;3,83;1.720.200,00;-
11/01/2024;3,83;1.720.200,00;-
12/01/2024;3,83;1.720.200,00;-
12/01/2024;3,83;1.720.200,00;-
13/01/2024;3,81;1.707.860,00;-12.340,00
13/01/2024;3,81;1.707.860,00;-
14/01/2024;3,81;1.707.860,00;-
14/01/2024;3,81;1.707.860,00;-
15/01/2024;3,81;1.707.860,00;-
15/01/2024;3,81;1.707.860,00;-
16/01/2024;3,78;1.695.510,00;-12.350,00
16/01/2024;3,78;1.695.510,00;-
17/01/2024;3,78;1.695.510,00;-
17/01/2024;3,78;1.695.510,00;-
18/01/2024;3,78;1.695.510,00;-
18/01/2024;3,78;1.695.510,00;-
19/01/2024;3,78;1.695.510,00;-
19/01/2024;3,78;1.695.510,00;-
20/01/2024;3,75;1.683.170,00;-12.340,00
20/01/2024;3,75;1.683.170,00;-
21/01/2024;3,72;1.670.830,00;-12.340,00
21/01/2024;3,72;1.670.830,00;-
22/01/2024;3,72;1.670.830,00;-
22/01/2024;3,72;1.670.830,00;-
23/01/2024;3,70;1.658.480,00;-12.350,00
23/01/2024;3,70;1.658.480,00;-
24/01/2024;3,70;1.658.480,00;-
24/01/2024;3,70;1.658.480,00;-
25/01/2024;3,64;1.633.790,00;-24.690,00
25/01/2024;3,64;1.633.790,00;-
26/01/2024;3,59;1.609.110,00;-24.680,00
26/01/2024;3,59;1.609.110,00;-
27/01/2024;3,56;1.596.760,00;-12.350,00
27/01/2024;3,56;1.596.760,00;-
28/01/2024;3,56;1.596.760,00;-
28/01/2024;3,56;1.596.760,00;-
29/01/2024;3,53;1.584.420,00;-12.340,00
29/01/2024;3,53;1.584.420,00;-
30/01/2024;3,50;1.572.080,00;-12.340,00
30/01/2024;3,50;1.572.080,00;-
31/01/2024;3,48;1.559.730,00;-12.350,00
31/01/2024;3,48;1.559.730,00;-
01/02/2024;3,45;1.547.390,00;-12.340,00
01/02/2024;3,45;1.547.390,00;-
02/02/2024;3,45;1.547.390,00;-
02/02/2024;3,45;1.547.390,00;-
03/02/2024;3,42;1.535.040,00;-12.350,00
03/02/2024;3,42;1.535.040,00;-
04/02/2024;3,39;1.522.700,00;-12.340,00
04/02/2024;3,39;1.522.700,00;-
05/02/2024;3,37;1.510.360,00;-12.340,00
05/02/2024;3,37;1.510.360,00;-
06/02/2024;3,28;1.473.330,00;-37.030,00
06/02/2024;3,28;1.473.330,00;-
07/02/2024;3,26;1.460.980,00;-12.350,00
07/02/2024;3,26;1.460.980,00;-
08/02/2024;3,23;1.448.640,00;-12.340,00
08/02/2024;3,23;1.448.640,00;-
09/02/2024;3,17;1.423.950,00;-24.690,00
09/02/2024;3,17;1.423.950,00;-
10/02/2024;3,12;1.400.160,00;-23.790,00
10/02/2024;3,12;1.400.160,00;-
11/02/2024;3,07;1.376.370,00;-23.790,00
11/02/2024;3,07;1.376.370,00;-
12/02/2024;3,07;1.376.370,00;-
12/02/2024;3,07;1.376.370,00;-
13/02/2024;3,05;1.368.440,00;-7.930,00
13/02/2024;3,05;1.368.440,00;-
14/02/2024;3,07;1.376.370,00;7.930,00
14/02/2024;3,07;1.376.370,00;-
15/02/2024;3,03;1.360.510,00;-15.860,00
15/02/2024;3,03;1.360.510,00;-
16/02/2024;3,03;1.360.510,00;-
16/02/2024;3,03;1.360.510,00;-
17/02/2024;3,03;1.360.510,00;-
17/02/2024;3,03;1.360.510,00;-
18/02/2024;3,03;1.360.510,00;-
18/02/2024;3,03;1.360.510,00;-
19/02/2024;3,01;1.352.580,00;-7.930,00
19/02/2024;3,01;1.352.580,00;-
