Estado,Nome,Capacidade (hm³),Cota (m),Volume Útil (hm³),Volume (%),Data da Medição
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,58","8,45","2,88",01/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,57","8,42","2,87",02/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,56","8,4","2,86",03/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,55","8,37","2,85",04/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,54","8,35","2,84",05/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,53","8,32","2,83",06/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,51","8,28","2,82",07/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,5","8,25","2,81",08/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,49","8,23","2,8",09/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,48","8,2","2,79",10/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,47","8,18","2,79",11/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,46","8,15","2,78",12/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,45","8,13","2,77",13/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,44","8,11","2,76",14/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62",,"8,08","2,75",15/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,42","8,06","2,75",16/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,41","8,03","2,73",17/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,4","8,01","2,73",18/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,4","8,01","2,73",19/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,39","7,99","2,72",20/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,38","7,96","2,71",21/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,37","7,94","2,7",22/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,37","7,94","2,7",23/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,36","7,91","2,69",24/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,35","7,89","2,69",25/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,35","7,89","2,69",26/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,48","8,2","2,79",27/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,52","8,3","2,83",28/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,51","8,28","2,82",29/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,51","8,28","2,82",30/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,5","8,25","2,81",31/01/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,49","8,23","2,8",01/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,48","8,2","2,79",02/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,47","8,18","2,79",03/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,46","8,15","2,78",04/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,45","8,13","2,77",05/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,44","8,11","2,76",06/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,44","8,11","2,76",07/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,45","8,13","2,77",08/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,44","8,11","2,76",09/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,42","8,06","2,75",10/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,44","8,11","2,76",11/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,45","8,13","2,77",12/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,45","8,13","2,77",13/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,45","8,13","2,77",14/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62",,"8,11","2,76",15/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,45","8,13","2,77",16/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,45","8,13","2,77",17/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,45","8,13","2,77",18/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,46","8,15","2,78",19/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,59","8,47","2,88",20/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,89","9,19","3,13",21/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,95","9,34","3,18",22/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","295,97","9,39","3,2",23/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","296,02","9,52","3,24",24/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","296,36","10,47","3,57",25/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","296,48","10,8","3,68",26/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","297,49","13,09","4,46",27/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62",,"16,68","5,68",28/02/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","297,81","14,52","4,95",01/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","297,87","14,74","5,02",02/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,02","15,32","5,22",03/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,07","15,51","5,28",04/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,1","15,63","5,32",05/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,1","15,63","5,32",06/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,12","15,71","5,35",07/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,12","15,71","5,35",08/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,13","15,75","5,36",09/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,12","15,71","5,35",10/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,12","15,71","5,35",11/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,11","15,67","5,34",12/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,11","15,67","5,34",13/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,1","15,63","5,32",14/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,1","15,63","5,32",15/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,09","15,59","5,31",16/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,08","15,55","5,3",17/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,08","15,55","5,3",18/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,07","15,51","5,28",19/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,07","15,51","5,28",20/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,06","15,47","5,27",21/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,05","15,43","5,26",22/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,04","15,39","5,24",23/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,03","15,35","5,23",24/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,03","15,35","5,23",25/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,03","14,07","4,79",26/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,03","15,35","5,23",27/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62",,"14,07","4,79",28/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,04","14,11","4,81",29/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,25","14,93","5,08",30/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","298,98","17,77","6,05",31/03/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","299,37","21,18","7,21",01/04/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","299,51","21,85","7,44",02/04/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","299,84","23,5",8,03/04/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","299,97","24,17","8,23",04/04/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","300,09","24,8","8,45",05/04/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62",,"24,21","8,25",06/04/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","301,27","31,57","10,75",07/04/2018
Paraíba,ENGENHEIRO ÁVIDOS,"293,62","301,57","33,48","11,4",08/04/2018
