Estado,Nome,Capacidade (hm³),Cota (m),Volume Útil (hm³),Volume (%),Data da Medição
Paraíba,LAGOA DO ARROZ,"80,39","89,3","5,27","6,55",01/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","89,28","5,24","6,52",02/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","89,26","5,22","6,49",03/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","89,23","5,18","6,44",04/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","89,2","5,14","6,4",05/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","89,17","5,11","6,35",06/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","89,14","5,07","6,3",07/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","89,11","5,03","6,26",08/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","89,09","5,01","6,23",09/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","89,08",5,"6,21",10/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","89,07","4,98","6,2",11/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","89,05","4,96","6,17",12/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","89,04","4,95","6,15",13/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","89,02","4,92","6,12",14/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","89,01","4,91","6,11",15/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,99","4,89","6,08",16/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,97","4,86","6,05",17/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,95","4,84","6,02",18/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,94","4,83","6,01",19/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,93","4,82","5,99",20/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,92","4,81","5,98",21/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,9","4,78","5,95",22/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,88","4,76","5,92",23/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,87","4,75","5,91",24/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,86","4,74","5,89",25/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,84","4,71","5,87",26/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,86","4,74","5,89",27/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,86","4,74","5,89",28/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,85","4,73","5,88",29/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,83","4,7","5,85",30/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,82","4,69","5,84",31/01/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,8","4,67","5,81",01/02/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,79","4,66","5,8",02/02/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,77","4,64","5,77",03/02/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,76","4,63","5,75",04/02/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,74","4,6","5,73",05/02/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,73","4,59","5,71",06/02/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,72","4,58","5,7",07/02/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,71","4,57","5,69",08/02/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,69","4,55","5,66",09/02/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,68","4,54","5,64",10/02/2018
Paraíba,LAGOA DO ARROZ,"80,39","88,67","4,53","5,63",11/02/2018
