Estado,Nome,Capacidade (hm³),Cota (m),Volume Útil (hm³),Volume (%),Data da Medição
Paraíba,MARÉS,"2,14",,"1,71","79,91",08/01/2018
Paraíba,MARÉS,"2,14",,"1,67","78,01",15/01/2018
Paraíba,MARÉS,"2,14",,"1,54","71,88",15/02/2018
Paraíba,MARÉS,"2,14",,"1,29","60,27",28/02/2018
Paraíba,MARÉS,"2,14",,"1,3","60,75",11/03/2018
Paraíba,MARÉS,"2,14",,"1,3","60,75",15/03/2018
Paraíba,MARÉS,"2,14",,"1,26","58,98",22/03/2018
Paraíba,MARÉS,"2,14",,"1,26","58,98",28/03/2018
Paraíba,MARÉS,"2,14",,"1,61","75,11",03/04/2018
Paraíba,MARÉS,"2,14",,"1,57","73,5",05/04/2018
Paraíba,MARÉS,"2,14",,"1,6","74,95",06/04/2018
Paraíba,MARÉS,"2,14",,"1,66","77,69",09/04/2018
Paraíba,MARÉS,"2,14",,"1,68","78,34",10/04/2018
Paraíba,MARÉS,"2,14",,"1,7","79,63",12/04/2018
Paraíba,MARÉS,"2,14",,"2,05","95,79",17/04/2018
Paraíba,MARÉS,"2,14",,"1,96","91,59",02/05/2018
Paraíba,MARÉS,"2,14",,"1,86","86,92",07/05/2018
Paraíba,MARÉS,"2,14","15,75","1,87","87,21",09/05/2018
Paraíba,MARÉS,"2,14","15,89","1,91","89,47",10/05/2018
Paraíba,MARÉS,"2,14","15,79","1,88","87,85",11/05/2018
Paraíba,MARÉS,"2,14","15,78","1,88","87,69",12/05/2018
Paraíba,MARÉS,"2,14","15,8","1,88","88,01",13/05/2018
Paraíba,MARÉS,"2,14","15,81","1,89","88,18",14/05/2018
Paraíba,MARÉS,"2,14","15,81","1,89","88,18",15/05/2018
Paraíba,MARÉS,"2,14","15,75","1,87","87,21",16/05/2018
Paraíba,MARÉS,"2,14","15,69","1,85","86,24",17/05/2018
Paraíba,MARÉS,"2,14","15,69","1,85","86,24",18/05/2018
Paraíba,MARÉS,"2,14","15,49","1,78","83,01",20/05/2018
Paraíba,MARÉS,"2,14","15,32","1,72","80,27",21/05/2018
Paraíba,MARÉS,"2,14","15,2","1,68","78,34",22/05/2018
Paraíba,MARÉS,"2,14","15,09","1,64","76,56",23/05/2018
Paraíba,MARÉS,"2,14","15,07","1,63","76,24",24/05/2018
Paraíba,MARÉS,"2,14","15,06","1,63","76,08",25/05/2018
Paraíba,MARÉS,"2,14","15,06","1,63","76,08",26/05/2018
Paraíba,MARÉS,"2,14","15,08","1,63","76,4",27/05/2018
Paraíba,MARÉS,"2,14","15,11","1,65","76,88",28/05/2018
Paraíba,MARÉS,"2,14","15,1","1,64","76,72",29/05/2018
Paraíba,MARÉS,"2,14","15,1","1,64","76,72",30/05/2018
Paraíba,MARÉS,"2,14","15,13","1,65","77,21",31/05/2018
Paraíba,MARÉS,"2,14","15,13","1,65","77,21",01/06/2018
Paraíba,MARÉS,"2,14","15,11","1,65","76,88",02/06/2018
Paraíba,MARÉS,"2,14","15,14","1,66","77,37",03/06/2018
Paraíba,MARÉS,"2,14","15,18","1,67","78,01",04/06/2018
Paraíba,MARÉS,"2,14","15,12","1,65","77,04",05/06/2018
Paraíba,MARÉS,"2,14",15,"1,61","75,11",06/06/2018
Paraíba,MARÉS,"2,14","14,9","1,57","73,5",07/06/2018
Paraíba,MARÉS,"2,14",15,"1,61","75,11",08/06/2018
Paraíba,MARÉS,"2,14","15,06","1,63","76,08",09/06/2018
Paraíba,MARÉS,"2,14","15,1","1,64","76,72",10/06/2018
Paraíba,MARÉS,"2,14","15,12","1,65","77,04",11/06/2018
Paraíba,MARÉS,"2,14","15,12","1,65","77,04",12/06/2018
Paraíba,MARÉS,"2,14","15,07","1,63","76,24",13/06/2018
Paraíba,MARÉS,"2,14","14,96","1,59","74,46",14/06/2018
Paraíba,MARÉS,"2,14","14,85","1,56","72,69",15/06/2018
Paraíba,MARÉS,"2,14","14,95","1,59","74,3",18/06/2018
Paraíba,MARÉS,"2,14","14,99","1,6","74,95",19/06/2018
Paraíba,MARÉS,"2,14",15,"1,61","75,11",20/06/2018
Paraíba,MARÉS,"2,14",15,"1,61","75,11",21/06/2018
Paraíba,MARÉS,"2,14",15,"1,61","75,11",22/06/2018
Paraíba,MARÉS,"2,14","15,04","1,62","75,75",25/06/2018
Paraíba,MARÉS,"2,14","15,06","1,63","76,08",26/06/2018
Paraíba,MARÉS,"2,14","15,04","1,62","75,75",27/06/2018
Paraíba,MARÉS,"2,14",15,"1,61","75,11",28/06/2018
Paraíba,MARÉS,"2,14","14,98","1,6","74,79",29/06/2018
Paraíba,MARÉS,"2,14","14,94","1,59","74,14",30/06/2018
Paraíba,MARÉS,"2,14","14,89","1,57","73,33",01/07/2018
Paraíba,MARÉS,"2,14","14,89","1,57","73,33",02/07/2018
Paraíba,MARÉS,"2,14","14,89","1,57","73,33",03/07/2018
Paraíba,MARÉS,"2,14","14,87","1,56","73,01",04/07/2018
Paraíba,MARÉS,"2,14","14,75","1,52","71,08",05/07/2018
Paraíba,MARÉS,"2,14","14,5","1,43","67,04",06/07/2018
Paraíba,MARÉS,"2,14","14,59","1,47","68,49",07/07/2018
Paraíba,MARÉS,"2,14","14,5","1,43","67,04",08/07/2018
Paraíba,MARÉS,"2,14","14,41","1,4","65,59",09/07/2018
Paraíba,MARÉS,"2,14","14,41","1,4","65,59",10/07/2018
Paraíba,MARÉS,"2,14","14,6","1,47","68,66",11/07/2018
Paraíba,MARÉS,"2,14","14,8","1,54","71,88",12/07/2018
Paraíba,MARÉS,"2,14","14,88","1,57","73,17",13/07/2018
Paraíba,MARÉS,"2,14","14,87","1,56","73,01",14/07/2018
Paraíba,MARÉS,"2,14","14,87","1,56","73,01",15/07/2018
Paraíba,MARÉS,"2,14","14,81","1,54","72,04",16/07/2018
Paraíba,MARÉS,"2,14","14,8","1,54","71,88",17/07/2018
Paraíba,MARÉS,"2,14","14,8","1,54","71,88",18/07/2018
Paraíba,MARÉS,"2,14","14,8","1,54","71,88",19/07/2018
Paraíba,MARÉS,"2,14","14,82","1,55","72,2",20/07/2018
Paraíba,MARÉS,"2,14","14,8","1,54","71,88",21/07/2018
Paraíba,MARÉS,"2,14","14,8","1,54","71,88",22/07/2018
Paraíba,MARÉS,"2,14","14,8","1,54","71,88",23/07/2018
Paraíba,MARÉS,"2,14","14,9","1,57","73,5",24/07/2018
Paraíba,MARÉS,"2,14","14,8","1,54","71,88",25/07/2018
Paraíba,MARÉS,"2,14",,"1,56","72,69",26/07/2018
Paraíba,MARÉS,"2,14","14,85","1,56","72,69",27/07/2018
Paraíba,MARÉS,"2,14","14,8","1,54","71,88",28/07/2018
Paraíba,MARÉS,"2,14","14,84","1,55","72,53",29/07/2018
Paraíba,MARÉS,"2,14","14,85","1,56","72,69",30/07/2018
