Estado,Nome,Capacidade (hm³),Cota (m),Volume Útil (hm³),Volume (%),Data da Medição
Paraíba,ACAUÃ,253,"101,25","8,88","3,51",01/01/2018
Paraíba,ACAUÃ,253,"101,22","8,83","3,49",02/01/2018
Paraíba,ACAUÃ,253,"101,19","8,77","3,47",03/01/2018
Paraíba,ACAUÃ,253,"101,16","8,72","3,45",04/01/2018
Paraíba,ACAUÃ,253,"101,13","8,67","3,43",05/01/2018
Paraíba,ACAUÃ,253,"101,1","8,62","3,41",06/01/2018
Paraíba,ACAUÃ,253,"101,04","8,52","3,37",08/01/2018
Paraíba,ACAUÃ,253,"101,01","8,47","3,35",09/01/2018
Paraíba,ACAUÃ,253,101,"8,45","3,34",12/01/2018
Paraíba,ACAUÃ,253,"100,98","8,42","3,33",13/01/2018
Paraíba,ACAUÃ,253,"100,95","8,38","3,31",14/01/2018
Paraíba,ACAUÃ,253,"100,92","8,33","3,29",15/01/2018
Paraíba,ACAUÃ,253,"100,9","8,31","3,28",16/01/2018
Paraíba,ACAUÃ,253,"100,88","8,28","3,27",17/01/2018
Paraíba,ACAUÃ,253,"100,86","8,25","3,26",18/01/2018
Paraíba,ACAUÃ,253,"100,85","8,23","3,25",19/01/2018
Paraíba,ACAUÃ,253,"100,84","8,22","3,25",20/01/2018
Paraíba,ACAUÃ,253,"100,83","8,2","3,24",21/01/2018
Paraíba,ACAUÃ,253,"100,82","8,19","3,24",22/01/2018
Paraíba,ACAUÃ,253,"100,81","8,18","3,23",23/01/2018
Paraíba,ACAUÃ,253,"100,82","8,19","3,24",24/01/2018
Paraíba,ACAUÃ,253,"100,81","8,18","3,23",25/01/2018
Paraíba,ACAUÃ,253,"100,8","8,16","3,23",26/01/2018
Paraíba,ACAUÃ,253,"100,79","8,15","3,22",27/01/2018
Paraíba,ACAUÃ,253,"100,78","8,13","3,21",28/01/2018
Paraíba,ACAUÃ,253,"100,76","8,1","3,2",29/01/2018
Paraíba,ACAUÃ,253,"100,7","8,02","3,17",30/01/2018
Paraíba,ACAUÃ,253,"100,74","8,07","3,19",31/01/2018
Paraíba,ACAUÃ,253,"100,73","8,06","3,19",01/02/2018
Paraíba,ACAUÃ,253,"100,72","8,05","3,18",02/02/2018
Paraíba,ACAUÃ,253,"100,7","8,02","3,17",03/02/2018
Paraíba,ACAUÃ,253,"100,65","7,94","3,14",05/02/2018
Paraíba,ACAUÃ,253,"100,63","7,92","3,13",06/02/2018
Paraíba,ACAUÃ,253,"100,59","7,86","3,11",07/02/2018
Paraíba,ACAUÃ,253,"100,56","7,81","3,09",08/02/2018
Paraíba,ACAUÃ,253,"100,54","7,78","3,08",09/02/2018
Paraíba,ACAUÃ,253,"100,52","7,76","3,07",10/02/2018
Paraíba,ACAUÃ,253,"100,49","7,71","3,05",11/02/2018
Paraíba,ACAUÃ,253,"100,46","7,67","3,03",12/02/2018
Paraíba,ACAUÃ,253,"100,44","7,64","3,02",13/02/2018
Paraíba,ACAUÃ,253,"100,44","7,64","3,02",14/02/2018
Paraíba,ACAUÃ,253,"100,46","7,67","3,03",15/02/2018
Paraíba,ACAUÃ,253,"100,47","7,68","3,04",16/02/2018
Paraíba,ACAUÃ,253,"100,46","7,67","3,03",17/02/2018
Paraíba,ACAUÃ,253,"100,47","7,68","3,04",18/02/2018
Paraíba,ACAUÃ,253,"100,46","7,67","3,03",19/02/2018
Paraíba,ACAUÃ,253,"100,45","7,65","3,03",20/02/2018
Paraíba,ACAUÃ,253,"100,44","7,64","3,02",22/02/2018
Paraíba,ACAUÃ,253,"100,43","7,63","3,01",23/02/2018
Paraíba,ACAUÃ,253,"100,42","7,61","3,01",24/02/2018
Paraíba,ACAUÃ,253,"100,4","7,58",3,25/02/2018
Paraíba,ACAUÃ,253,"100,39","7,57","2,99",26/02/2018
Paraíba,ACAUÃ,253,"100,38","7,55","2,99",27/02/2018
Paraíba,ACAUÃ,253,"100,41","7,6",3,28/02/2018
Paraíba,ACAUÃ,253,"100,53","7,77","3,07",01/03/2018
Paraíba,ACAUÃ,253,"100,59","7,86","3,11",02/03/2018
Paraíba,ACAUÃ,253,"100,68","7,99","3,16",03/03/2018
Paraíba,ACAUÃ,253,"100,75","8,09","3,2",04/03/2018
Paraíba,ACAUÃ,253,"100,88","8,28","3,27",05/03/2018
Paraíba,ACAUÃ,253,"101,02","8,48","3,35",06/03/2018
Paraíba,ACAUÃ,253,"101,19","8,77","3,47",07/03/2018
Paraíba,ACAUÃ,253,"101,32",9,"3,56",08/03/2018
Paraíba,ACAUÃ,253,"101,4","9,13","3,61",09/03/2018
Paraíba,ACAUÃ,253,"101,46","9,24","3,65",10/03/2018
Paraíba,ACAUÃ,253,"101,5","9,3","3,68",11/03/2018
Paraíba,ACAUÃ,253,"101,52","9,34","3,69",12/03/2018
Paraíba,ACAUÃ,253,"101,54","9,37","3,7",13/03/2018
Paraíba,ACAUÃ,253,"101,56","9,41","3,72",14/03/2018
Paraíba,ACAUÃ,253,"101,57","9,42","3,72",15/03/2018
Paraíba,ACAUÃ,253,"101,58","9,44","3,73",16/03/2018
Paraíba,ACAUÃ,253,"101,58","9,44","3,73",17/03/2018
Paraíba,ACAUÃ,253,"101,58","9,44","3,73",18/03/2018
Paraíba,ACAUÃ,253,"101,58","9,44","3,73",19/03/2018
Paraíba,ACAUÃ,253,"101,56","9,41","3,72",20/03/2018
Paraíba,ACAUÃ,253,"101,55","9,39","3,71",21/03/2018
Paraíba,ACAUÃ,253,"101,54","9,37","3,7",22/03/2018
Paraíba,ACAUÃ,253,"101,51","9,32","3,68",23/03/2018
Paraíba,ACAUÃ,253,"101,49","9,29","3,67",24/03/2018
Paraíba,ACAUÃ,253,"101,47","9,25","3,66",25/03/2018
Paraíba,ACAUÃ,253,"101,45","9,22","3,64",26/03/2018
Paraíba,ACAUÃ,253,"101,42","9,17","3,62",27/03/2018
Paraíba,ACAUÃ,253,"101,4","9,13","3,61",28/03/2018
Paraíba,ACAUÃ,253,"101,39","9,12","3,6",29/03/2018
Paraíba,ACAUÃ,253,"101,39","9,12","3,6",30/03/2018
Paraíba,ACAUÃ,253,"101,39","9,12","3,6",31/03/2018
Paraíba,ACAUÃ,253,"101,4","9,13","3,61",01/04/2018
Paraíba,ACAUÃ,253,"101,42","9,17","3,62",02/04/2018
Paraíba,ACAUÃ,253,"101,43","9,18","3,63",03/04/2018
Paraíba,ACAUÃ,253,"101,44","9,2","3,64",04/04/2018
Paraíba,ACAUÃ,253,"101,47","9,25","3,66",05/04/2018
Paraíba,ACAUÃ,253,"101,48","9,27","3,66",06/04/2018
Paraíba,ACAUÃ,253,"101,7","9,65","3,81",07/04/2018
Paraíba,ACAUÃ,253,"101,98","10,12",4,08/04/2018
Paraíba,ACAUÃ,253,"102,12","10,4","4,11",09/04/2018
Paraíba,ACAUÃ,253,"102,32","10,8","4,27",10/04/2018
Paraíba,ACAUÃ,253,"102,64","11,44","4,52",11/04/2018
Paraíba,ACAUÃ,253,"102,87","11,9","4,7",12/04/2018
Paraíba,ACAUÃ,253,"103,08","12,34","4,88",13/04/2018
Paraíba,ACAUÃ,253,"103,35","12,97","5,13",14/04/2018
Paraíba,ACAUÃ,253,"103,54","13,41","5,3",15/04/2018
Paraíba,ACAUÃ,253,"103,74","13,88","5,48",16/04/2018
Paraíba,ACAUÃ,253,"103,86","14,15","5,59",17/04/2018
Paraíba,ACAUÃ,253,"103,98","14,43","5,7",18/04/2018
Paraíba,ACAUÃ,253,"104,1","14,75","5,83",19/04/2018
Paraíba,ACAUÃ,253,"104,23","15,09","5,97",20/04/2018
Paraíba,ACAUÃ,253,"104,38","15,49","6,12",21/04/2018
Paraíba,ACAUÃ,253,"104,53","15,89","6,28",22/04/2018
Paraíba,ACAUÃ,253,"104,68","16,29","6,44",23/04/2018
Paraíba,ACAUÃ,253,"104,84","16,72","6,61",24/04/2018
Paraíba,ACAUÃ,253,"105,1","17,45","6,9",25/04/2018
Paraíba,ACAUÃ,253,"105,48","18,61","7,36",26/04/2018
Paraíba,ACAUÃ,253,"105,71","19,31","7,63",27/04/2018
Paraíba,ACAUÃ,253,"105,9","19,89","7,86",28/04/2018
Paraíba,ACAUÃ,253,"106,12","20,6","8,14",29/04/2018
Paraíba,ACAUÃ,253,"106,34","21,36","8,44",30/04/2018
Paraíba,ACAUÃ,253,"106,51","21,95","8,67",01/05/2018
Paraíba,ACAUÃ,253,"106,79","22,91","9,06",02/05/2018
Paraíba,ACAUÃ,253,"106,82","23,01","9,1",03/05/2018
Paraíba,ACAUÃ,253,"106,91","23,32","9,22",04/05/2018
Paraíba,ACAUÃ,253,"107,08","23,94","9,46",05/05/2018
Paraíba,ACAUÃ,253,"107,21","24,44","9,66",06/05/2018
Paraíba,ACAUÃ,253,"107,31","24,83","9,81",07/05/2018
Paraíba,ACAUÃ,253,"107,44","25,33","10,01",09/05/2018
Paraíba,ACAUÃ,253,"107,49","25,53","10,09",10/05/2018
Paraíba,ACAUÃ,253,"107,54","25,72","10,17",11/05/2018
Paraíba,ACAUÃ,253,"107,58","25,87","10,23",12/05/2018
Paraíba,ACAUÃ,253,"107,62","26,03","10,29",13/05/2018
Paraíba,ACAUÃ,253,"107,65","26,15","10,33",14/05/2018
Paraíba,ACAUÃ,253,"107,68","26,26","10,38",15/05/2018
Paraíba,ACAUÃ,253,"107,72","26,42","10,44",16/05/2018
Paraíba,ACAUÃ,253,"107,76","26,57","10,5",17/05/2018
Paraíba,ACAUÃ,253,"107,8","26,72","10,56",18/05/2018
Paraíba,ACAUÃ,253,"107,84","26,88","10,62",19/05/2018
Paraíba,ACAUÃ,253,"107,87",27,"10,67",20/05/2018
Paraíba,ACAUÃ,253,"107,9","27,11","10,72",21/05/2018
Paraíba,ACAUÃ,253,"107,95","27,3","10,79",23/05/2018
Paraíba,ACAUÃ,253,"107,98","27,42","10,84",24/05/2018
Paraíba,ACAUÃ,253,"108,06","27,76","10,97",26/05/2018
Paraíba,ACAUÃ,253,"108,1","27,93","11,04",27/05/2018
Paraíba,ACAUÃ,253,"108,13","28,06","11,09",28/05/2018
Paraíba,ACAUÃ,253,"108,16","28,19","11,14",29/05/2018
Paraíba,ACAUÃ,253,"108,17","28,23","11,16",30/05/2018
Paraíba,ACAUÃ,253,"108,19","28,32","11,19",31/05/2018
Paraíba,ACAUÃ,253,"108,21","28,4","11,23",01/06/2018
Paraíba,ACAUÃ,253,"108,22","28,45","11,24",02/06/2018
Paraíba,ACAUÃ,253,"108,25","28,58","11,29",03/06/2018
Paraíba,ACAUÃ,253,"108,27","28,66","11,33",04/06/2018
Paraíba,ACAUÃ,253,"108,29","28,75","11,36",05/06/2018
Paraíba,ACAUÃ,253,"108,31","28,83","11,4",06/06/2018
Paraíba,ACAUÃ,253,"108,32","28,88","11,41",07/06/2018
Paraíba,ACAUÃ,253,"108,36","29,05","11,48",08/06/2018
Paraíba,ACAUÃ,253,"108,39","29,18","11,53",09/06/2018
Paraíba,ACAUÃ,253,"108,4","29,22","11,55",10/06/2018
Paraíba,ACAUÃ,253,"108,42","29,31","11,58",11/06/2018
Paraíba,ACAUÃ,253,"108,43","29,35","11,6",12/06/2018
Paraíba,ACAUÃ,253,"108,44","29,39","11,62",13/06/2018
Paraíba,ACAUÃ,253,"108,46","29,48","11,65",14/06/2018
Paraíba,ACAUÃ,253,"108,47","29,52","11,67",15/06/2018
Paraíba,ACAUÃ,253,"108,48","29,57","11,69",16/06/2018
Paraíba,ACAUÃ,253,"108,51","29,7","11,74",17/06/2018
Paraíba,ACAUÃ,253,"108,52","29,74","11,75",18/06/2018
Paraíba,ACAUÃ,253,"108,54","29,83","11,79",19/06/2018
Paraíba,ACAUÃ,253,"108,52","29,74","11,75",20/06/2018
Paraíba,ACAUÃ,253,"108,56","29,91","11,82",21/06/2018
Paraíba,ACAUÃ,253,"108,57","29,95","11,84",22/06/2018
Paraíba,ACAUÃ,253,"108,58",30,"11,86",23/06/2018
Paraíba,ACAUÃ,253,"108,58",30,"11,86",24/06/2018
Paraíba,ACAUÃ,253,"108,59","30,04","11,87",25/06/2018
Paraíba,ACAUÃ,253,"108,6","30,08","11,89",26/06/2018
Paraíba,ACAUÃ,253,"108,61","30,13","11,91",27/06/2018
Paraíba,ACAUÃ,253,"108,61","30,13","11,91",28/06/2018
Paraíba,ACAUÃ,253,"108,62","30,17","11,93",29/06/2018
Paraíba,ACAUÃ,253,"108,62","30,17","11,93",30/06/2018
Paraíba,ACAUÃ,253,"108,61","30,13","11,91",01/07/2018
Paraíba,ACAUÃ,253,"108,61","30,13","11,91",02/07/2018
Paraíba,ACAUÃ,253,"108,62","30,17","11,93",03/07/2018
Paraíba,ACAUÃ,253,"108,62","30,17","11,93",04/07/2018
Paraíba,ACAUÃ,253,"108,62","30,17","11,93",05/07/2018
Paraíba,ACAUÃ,253,"108,63","30,21","11,94",06/07/2018
Paraíba,ACAUÃ,253,"108,62","30,17","11,93",07/07/2018
Paraíba,ACAUÃ,253,"108,6","30,08","11,89",08/07/2018
Paraíba,ACAUÃ,253,"108,59","30,04","11,87",09/07/2018
Paraíba,ACAUÃ,253,"108,57","29,95","11,84",10/07/2018
Paraíba,ACAUÃ,253,"108,54","29,83","11,79",11/07/2018
Paraíba,ACAUÃ,253,"108,53","29,78","11,77",12/07/2018
Paraíba,ACAUÃ,253,"108,52","29,74","11,75",13/07/2018
Paraíba,ACAUÃ,253,"108,51","29,7","11,74",14/07/2018
Paraíba,ACAUÃ,253,"108,49","29,61","11,7",15/07/2018
Paraíba,ACAUÃ,253,"108,48","29,57","11,69",16/07/2018
Paraíba,ACAUÃ,253,"108,46","29,48","11,65",17/07/2018
Paraíba,ACAUÃ,253,"108,45","29,44","11,64",18/07/2018
Paraíba,ACAUÃ,253,"108,44","29,39","11,62",19/07/2018
Paraíba,ACAUÃ,253,"108,44","29,39","11,62",20/07/2018
Paraíba,ACAUÃ,253,"108,43","29,35","11,6",21/07/2018
Paraíba,ACAUÃ,253,"108,42","29,31","11,58",22/07/2018
Paraíba,ACAUÃ,253,"108,42","29,31","11,58",23/07/2018
Paraíba,ACAUÃ,253,"108,41","29,27","11,57",24/07/2018
Paraíba,ACAUÃ,253,"108,4","29,22","11,55",25/07/2018
Paraíba,ACAUÃ,253,"108,4","29,22","11,55",26/07/2018
Paraíba,ACAUÃ,253,"108,39","29,18","11,53",27/07/2018
Paraíba,ACAUÃ,253,"108,38","29,14","11,52",28/07/2018
Paraíba,ACAUÃ,253,"108,38","29,14","11,52",29/07/2018
