cota,area,volume
90, 138939.00, 0.00,
91, 169297.00, 335136.00,
92, 219737.00, 944519.00,
93, 290924.00, 1497351.00,
94, 383457.00, 2033709.00,
95, 497860.00, 2592511.00,
96, 634592.00, 3211516.00,
97, 794041.00, 3927325.00,
98, 976526.00, 4775377.00,
99, 1182294.00, 5789957.00,
100, 1411527.00, 7004187.00,
101, 1664334.00, 8450033.00,
102, 1940756.00, 10158300.00,
103, 2240763.00, 12158635.00,
104, 2564259.00, 14479528.00,
105, 2911075.00, 17148306.00,
106, 3280974.00, 20191142.00,
107, 3673650.00, 23633046.00,
108, 4088726.00, 27497872.00,
109, 4525756.00, 31808314.00,
110, 4984227.00, 36585907.00,
111, 5463553.00, 41851027.00,
112, 5963081.00, 47622892.00,
113, 6482087.00, 53919561.00,
114, 7019778.00, 60757934.00,
115, 7575292.00, 68153751.00,
116, 8147698.00, 76121596.00,
117, 8735993.00, 84674890.00,
118, 9339108.00, 93825900.00,
119, 9955903.00, 103585730.00,
120, 10585167.00, 113964327.00,
121, 11225622.00, 124970480.00,
122, 11875919.00, 136611817.00,
123, 12534640.00, 148894817.00,
124, 13200298.00, 161824768.00,
125, 13871335.00, 175405846.00,
126, 14546126.00, 189641037.00,
127, 15222975.00, 204532176.00,
128, 15900116.00, 220079939.00,
129, 16575715.00, 236283843.00,
130, 17247867.00, 253142247.00,
131, 17914599.00, 270652350.00,
132, 18573868.00, 288810194.00,
133, 19223560.00, 307610660.00,
134, 19861495.00, 327047471.00,
135, 20485420.00, 347113191.00,
136, 21093015.00, 367799227.00,
137, 21681889.00, 389095824.00,
138, 22249582.00, 410992070.00,
139, 22311239.00, 433475894.00,
140, 23311239.00, 456534067.00,
