cota,area,volume
290, 560192.0, 160100.00
291, 812942.0, 852800.00
292, 1092616.0, 1891800.00
293, 1399312.0, 3268800.00
294, 1733742.0, 4983500.00
295, 2097230.0, 7042600.00
296, 2491712.0, 9460700.00
297, 2919742.0, 12259800.00
298, 3384483.0, 13951000.00
299, 3889712.0, 17847500.00
300, 4439822.0, 21744000.00
301, 5039816.0, 26776665.00
302, 5695312.0, 31911000.00
303, 6412542.0, 38225000.00
304, 7198359.0, 44539000.00
305, 8060192.0, 52375500.00
306, 9006142.0, 60212000.00
307, 10044888.0, 70353000.00
308, 11185712.0, 80494000.00
309, 12438542.0, 94104000.00
310, 13813897.0, 107714000.00
311, 15322912.0, 125350000.00
312, 16977341.0, 142986000.00
313, 18789549.0, 164238500.00
314, 20772512.0, 185491000.00
315, 22939821.0, 211073500.00
316, 25305683.0, 236656000.00
317, 27884911.0, 255000000.00
318, 30692941.0, 270803800.00
319, 33745816.0, 309752400.00
320, 37060192.0, 344661000.00
