Estado,Nome,Capacidade (hm³),Cota (m),Volume Útil (hm³),Volume (%),Data da Medição
Paraíba,GRAMAME-MAMUABA,"56,94",,49,"86,06",08/01/2018
Paraíba,GRAMAME-MAMUABA,"56,94",,"48,66","85,46",12/01/2018
Paraíba,GRAMAME-MAMUABA,"56,94",,49,"86,05",15/02/2018
Paraíba,GRAMAME-MAMUABA,"56,94",,"51,7","90,8",28/02/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,42","52,04","91,39",01/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,42","52,04","91,39",02/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,46","52,38","91,99",03/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,46","52,38","91,99",04/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,46","52,38","91,99",05/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,46","52,38","91,99",06/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,48","52,55","92,28",07/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,48","52,55","92,28",08/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,42","52,04","91,39",14/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,4","51,87","91,1",15/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,38","51,7","90,8",16/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,38","51,7","90,8",17/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,36","51,53","90,5",18/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,34","51,36","90,21",19/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,32","51,19","89,91",20/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,32","51,19","89,91",21/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,3","51,03","89,61",22/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,28","50,86","89,32",23/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,26","50,69","89,02",24/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,24","50,52","88,72",25/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,24","50,52","88,72",26/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,22","50,35","88,43",27/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,22","50,35","88,43",28/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,28","50,86","89,32",29/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,34","51,36","90,21",30/03/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,38","51,7","90,8",01/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,38","51,7","90,8",02/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,38","51,7","90,8",03/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,38","51,7","90,8",04/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,38","51,7","90,8",05/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,36","51,53","90,5",06/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,36","51,53","90,5",07/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,36","51,53","90,5",08/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,36","51,53","90,5",09/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,36","51,53","90,5",10/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,36","51,53","90,5",11/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,36","51,53","90,5",12/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,44","52,21","91,69",13/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,5","52,71","92,58",14/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,52","52,88","92,88",15/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,54","53,05","93,17",16/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,54","53,05","93,17",17/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,54","53,05","93,17",18/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,54","53,05","93,17",19/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,54","53,05","93,17",20/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,56","53,22","93,47",21/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,58","53,39","93,77",22/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,66","54,07","94,95",23/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,78","55,08","96,73",24/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","34,9","56,09","98,51",25/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,04","57,29","100,62",26/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,1","57,83","101,57",27/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,1","57,83","101,57",28/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,08","57,65","101,25",29/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,08","57,65","101,25",30/04/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,18","58,55","102,82",01/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,2","58,73","103,14",02/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,18","58,55","102,82",03/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,14","58,19","102,19",04/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,12","58,01","101,88",05/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,12","58,01","101,88",06/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,12","58,01","101,88",07/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,1","57,83","101,57",08/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,08","57,65","101,25",09/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,08","57,65","101,25",10/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,08","57,65","101,25",11/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,08","57,65","101,25",12/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,1","57,83","101,57",13/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,08","57,65","101,25",14/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,1","57,83","101,57",15/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,1","57,83","101,57",16/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,12","58,01","101,88",17/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,14","58,19","102,19",18/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,16","58,37","102,51",19/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,14","58,19","102,19",20/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,12","58,01","101,88",21/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,1","57,83","101,57",22/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,08","57,65","101,25",23/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,06","57,47","100,94",24/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,06","57,47","100,94",25/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,06","57,47","100,94",26/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,04","57,29","100,62",27/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,04","57,29","100,62",29/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,04","57,29","100,62",30/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,04","57,29","100,62",31/05/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,04","57,29","100,62",01/06/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,04","57,29","100,62",02/06/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,04","57,29","100,62",03/06/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,04","57,29","100,62",04/06/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,04","57,29","100,62",05/06/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,04","57,29","100,62",06/06/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,04","57,29","100,62",07/06/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,1","57,83","101,57",08/06/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,14","58,19","102,19",09/06/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,12","58,01","101,88",10/06/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,1","57,83","101,57",11/06/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,08","57,65","101,25",12/06/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,06","57,47","100,94",13/06/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,06","57,47","100,94",14/06/2018
Paraíba,GRAMAME-MAMUABA,"56,94","35,06","57,47","100,94",15/06/2018
