cota,area,volume
77,0,0
78,7500.00,3750.00
79,80000.00,47500.00
80,172500.00,173750.00
81,240500.00,380250.00
82,304000.00,652500.00
83,359000.00,984000.00
84,487000.00,1407000.00
85,592000.00,1946500.00
86,637000.00,2561000.00
87,761250.00,3260125.00
88,953500.00,4117500.00
89,1221000.00,5204750.00
90,1573000.00,6651750.00
91,2060000.00,8518250.00
92,2509500.00,10803000.00
93,3212000.00,13663750.00
94,4703000.00,17621250.00
95,4945500.00,22445500.00
96,5420000.00,27628250.00
97,6237500.00,33457000.00
98,7318000.00,40234700.00
99,8570500.00,48179000.00
100,10245500.00,57587000.00
101,11369000.00,68394250.00
102,12284000.00,80220750.00
103,13616500.00,93171000.00
104,15257500.00,107607750.00
