Estado,Nome,Capacidade (hm³),Cota (m),Volume Útil (hm³),Volume (%),Data da Medição
Paraíba,SUMÉ,"44,86",,"2,57","5,73",09/01/2018
Paraíba,SUMÉ,"44,86",,"2,47","5,51",15/01/2018
Paraíba,SUMÉ,"44,86","65,63","2,2","4,91",15/02/2018
Paraíba,SUMÉ,"44,86","65,63","2,2","4,91",16/02/2018
Paraíba,SUMÉ,"44,86","65,62","2,19","4,88",17/02/2018
Paraíba,SUMÉ,"44,86","65,62","2,19","4,88",18/02/2018
Paraíba,SUMÉ,"44,86","65,61","2,18","4,85",19/02/2018
Paraíba,SUMÉ,"44,86","65,6","2,16","4,83",20/02/2018
Paraíba,SUMÉ,"44,86","65,6","2,16","4,83",21/02/2018
Paraíba,SUMÉ,"44,86","65,59","2,15","4,8",22/02/2018
Paraíba,SUMÉ,"44,86","65,6","2,16","4,83",23/02/2018
Paraíba,SUMÉ,"44,86","65,8","2,41","5,38",24/02/2018
Paraíba,SUMÉ,"44,86","65,8","2,41","5,38",25/02/2018
Paraíba,SUMÉ,"44,86","65,78","2,39","5,32",26/02/2018
Paraíba,SUMÉ,"44,86","65,77","2,37","5,29",27/02/2018
Paraíba,SUMÉ,"44,86","65,76","2,36","5,27",28/02/2018
Paraíba,SUMÉ,"44,86","65,78","2,39","5,32",01/03/2018
Paraíba,SUMÉ,"44,86","65,78","2,39","5,32",02/03/2018
Paraíba,SUMÉ,"44,86","65,78","2,39","5,32",03/03/2018
Paraíba,SUMÉ,"44,86","65,83","2,45","5,46",04/03/2018
Paraíba,SUMÉ,"44,86","65,83","2,45","5,46",05/03/2018
Paraíba,SUMÉ,"44,86","65,77","2,37","5,29",07/03/2018
Paraíba,SUMÉ,"44,86","65,77","2,37","5,29",08/03/2018
Paraíba,SUMÉ,"44,86","65,76","2,36","5,27",09/03/2018
Paraíba,SUMÉ,"44,86","65,75","2,35","5,24",10/03/2018
Paraíba,SUMÉ,"44,86","65,75","2,35","5,24",11/03/2018
Paraíba,SUMÉ,"44,86","65,79","2,4","5,35",12/03/2018
Paraíba,SUMÉ,"44,86","65,79","2,4","5,35",13/03/2018
Paraíba,SUMÉ,"44,86","65,79","2,4","5,35",14/03/2018
Paraíba,SUMÉ,"44,86","65,78","2,39","5,32",15/03/2018
Paraíba,SUMÉ,"44,86","65,78","2,39","5,32",16/03/2018
Paraíba,SUMÉ,"44,86","65,77","2,37","5,29",17/03/2018
Paraíba,SUMÉ,"44,86","65,76","2,36","5,27",18/03/2018
Paraíba,SUMÉ,"44,86","65,75","2,35","5,24",19/03/2018
Paraíba,SUMÉ,"44,86","65,74","2,34","5,21",20/03/2018
Paraíba,SUMÉ,"44,86","65,73","2,33","5,18",21/03/2018
Paraíba,SUMÉ,"44,86","65,72","2,31","5,16",22/03/2018
Paraíba,SUMÉ,"44,86","65,72","2,31","5,16",23/03/2018
Paraíba,SUMÉ,"44,86","65,71","2,3","5,13",24/03/2018
Paraíba,SUMÉ,"44,86","65,78","2,39","5,32",25/03/2018
Paraíba,SUMÉ,"44,86","66,22","3,04","6,79",26/03/2018
Paraíba,SUMÉ,"44,86","66,26","3,11","6,94",27/03/2018
Paraíba,SUMÉ,"44,86","66,31","3,2","7,14",28/03/2018
Paraíba,SUMÉ,"44,86","66,34","3,25","7,25",29/03/2018
Paraíba,SUMÉ,"44,86","66,41","3,38","7,53",30/03/2018
Paraíba,SUMÉ,"44,86","66,41","3,38","7,53",31/03/2018
Paraíba,SUMÉ,"44,86","66,41","3,38","7,53",01/04/2018
Paraíba,SUMÉ,"44,86","66,41","3,38","7,53",02/04/2018
Paraíba,SUMÉ,"44,86","66,41","3,38","7,53",03/04/2018
Paraíba,SUMÉ,"44,86","66,4","3,36","7,49",04/04/2018
Paraíba,SUMÉ,"44,86","66,39","3,34","7,45",05/04/2018
Paraíba,SUMÉ,"44,86","66,38","3,32","7,41",06/04/2018
Paraíba,SUMÉ,"44,86","66,64","3,78","8,43",08/04/2018
Paraíba,SUMÉ,"44,86","66,87","4,18","9,32",09/04/2018
Paraíba,SUMÉ,"44,86","67,17","4,81","10,72",10/04/2018
Paraíba,SUMÉ,"44,86","67,17","4,81","10,72",11/04/2018
Paraíba,SUMÉ,"44,86","67,17","4,81","10,72",12/04/2018
Paraíba,SUMÉ,"44,86","67,16","4,79","10,67",13/04/2018
Paraíba,SUMÉ,"44,86","67,16","4,79","10,67",14/04/2018
Paraíba,SUMÉ,"44,86","67,35","5,24","11,67",15/04/2018
Paraíba,SUMÉ,"44,86","67,74","6,15","13,72",16/04/2018
Paraíba,SUMÉ,"44,86","67,76","6,2","13,82",17/04/2018
Paraíba,SUMÉ,"44,86","67,76","6,2","13,82",18/04/2018
Paraíba,SUMÉ,"44,86","67,76","6,2","13,82",19/04/2018
Paraíba,SUMÉ,"44,86","67,75","6,18","13,77",20/04/2018
Paraíba,SUMÉ,"44,86","67,74","6,15","13,72",21/04/2018
